IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",31,"1980",4,"Median",1,"Male",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",240125861.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",31,"1980",4,"Median",2,"Female",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",242925522.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",32,"1981",4,"Median",1,"Male",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",247462023.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",32,"1981",4,"Median",2,"Female",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",250158619.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",33,"1982",4,"Median",1,"Male",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",255144768.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",33,"1982",4,"Median",2,"Female",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",257813780
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",34,"1983",4,"Median",1,"Male",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",262838268.5
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",34,"1983",4,"Median",2,"Female",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",265394147
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",35,"1984",4,"Median",1,"Male",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",270566916
49,"Total population by sex","Total population by sex","World Population Prospects",2024,"United Nations Population Division",903,"Africa","A9","AFR",35,"1984",4,"Median",2,"Female",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",273070854.5
